Corrida,Beneficio,Peso,Asignacion,Objetos
1,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
2,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
3,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
4,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
5,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
6,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
7,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
8,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
9,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
10,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
11,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
12,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
13,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
14,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
15,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
16,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
17,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
18,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
19,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
20,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
21,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
22,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
23,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
24,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
25,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
26,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
27,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
28,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
29,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
30,309,165,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 4, 6]"
