Corrida,Beneficio,Asignacion,Peso_M1,Peso_M2,Peso_M3,Peso_M4
1,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
2,396,"[4, 1, 2, 3, 0, 4, 0, 0, 4, 0]",31,29,44,150
3,393,"[1, 4, 2, 3, 4, 0, 4, 0, 0, 0]",23,29,44,147
4,393,"[4, 2, 1, 3, 4, 0, 4, 0, 0, 0]",29,31,44,139
5,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
6,396,"[4, 1, 2, 3, 0, 4, 0, 0, 4, 0]",31,29,44,150
7,393,"[2, 1, 4, 3, 0, 4, 0, 4, 0, 0]",31,23,44,152
8,396,"[4, 1, 2, 3, 0, 4, 0, 0, 4, 0]",31,29,44,150
9,393,"[4, 1, 2, 4, 0, 3, 0, 4, 0, 0]",31,29,38,152
10,393,"[1, 2, 4, 3, 4, 0, 4, 0, 0, 0]",23,31,44,145
11,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
12,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
13,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
14,393,"[4, 1, 2, 3, 4, 0, 4, 0, 0, 0]",31,29,44,139
15,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
16,396,"[4, 1, 2, 3, 0, 4, 0, 0, 4, 0]",31,29,44,150
17,393,"[1, 4, 2, 3, 4, 0, 4, 0, 0, 0]",23,29,44,147
18,393,"[1, 2, 4, 3, 4, 0, 4, 0, 0, 0]",23,31,44,145
19,393,"[1, 2, 4, 3, 4, 0, 4, 0, 0, 0]",23,31,44,145
20,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
21,393,"[1, 2, 4, 3, 4, 0, 4, 0, 0, 0]",23,31,44,145
22,393,"[1, 4, 2, 3, 4, 0, 4, 0, 0, 0]",23,29,44,147
23,396,"[4, 1, 2, 3, 0, 4, 0, 0, 4, 0]",31,29,44,150
24,393,"[4, 2, 1, 3, 4, 0, 4, 0, 0, 0]",29,31,44,139
25,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
26,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
27,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
28,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
29,393,"[1, 2, 4, 3, 0, 4, 0, 4, 0, 0]",23,31,44,152
30,396,"[4, 2, 1, 3, 0, 4, 0, 0, 4, 0]",29,31,44,150
