Corrida,Beneficio,Asignacion,Peso_M1,Peso_M2,Peso_M3
1,390,"[1, 1, 3, 2, 1]",50,40,10
2,390,"[3, 3, 1, 2, 1]",50,40,50
3,390,"[1, 3, 2, 3, 3]",10,30,50
4,390,"[2, 1, 3, 1, 3]",30,20,20
5,390,"[1, 1, 3, 3, 1]",50,0,30
6,390,"[1, 2, 2, 3, 1]",30,40,20
7,390,"[1, 3, 3, 3, 1]",30,0,50
8,390,"[1, 2, 3, 1, 3]",20,10,20
9,390,"[1, 2, 2, 3, 1]",30,40,20
10,390,"[3, 2, 1, 2, 1]",50,50,30
11,390,"[1, 3, 2, 1, 3]",20,30,30
12,390,"[1, 1, 2, 3, 3]",30,30,30
13,390,"[3, 1, 2, 1, 1]",50,30,30
14,390,"[1, 3, 3, 3, 2]",10,20,50
15,390,"[2, 2, 1, 1, 2]",40,50,0
16,390,"[1, 3, 3, 2, 3]",10,40,40
17,390,"[2, 3, 2, 1, 1]",30,50,20
18,390,"[1, 3, 2, 1, 3]",20,30,30
19,390,"[3, 1, 3, 2, 3]",20,40,50
20,390,"[1, 1, 2, 1, 2]",40,50,0
21,390,"[1, 1, 3, 1, 3]",40,0,20
22,390,"[3, 2, 3, 1, 1]",30,10,40
23,390,"[3, 3, 2, 1, 1]",30,30,50
24,390,"[3, 2, 1, 3, 1]",50,10,50
25,390,"[3, 3, 2, 1, 2]",10,50,50
26,390,"[2, 1, 3, 1, 2]",30,40,10
27,390,"[3, 1, 3, 2, 1]",40,40,40
28,390,"[1, 3, 1, 3, 3]",40,0,50
29,390,"[2, 3, 2, 3, 1]",20,50,40
30,390,"[1, 2, 3, 1, 2]",20,30,10
