Corrida,Beneficio,Asignacion,Peso_M1,Peso_M2
1,105,"[1, 0, 0, 2, 1, 1]",65,80
2,105,"[0, 1, 0, 2, 0, 2]",60,85
3,105,"[0, 1, 0, 2, 0, 1]",65,80
4,105,"[1, 0, 0, 2, 1, 1]",65,80
5,105,"[1, 0, 0, 2, 1, 1]",65,80
6,105,"[0, 1, 0, 2, 0, 2]",60,85
7,105,"[1, 0, 0, 2, 1, 1]",65,80
8,105,"[0, 1, 0, 2, 0, 2]",60,85
9,105,"[0, 1, 0, 2, 0, 2]",60,85
10,105,"[1, 0, 0, 2, 1, 2]",60,85
11,105,"[1, 0, 0, 2, 1, 1]",65,80
12,105,"[1, 0, 0, 2, 1, 1]",65,80
13,105,"[0, 1, 0, 2, 0, 1]",65,80
14,105,"[0, 1, 0, 2, 0, 1]",65,80
15,105,"[0, 1, 0, 2, 0, 1]",65,80
16,105,"[1, 0, 0, 2, 1, 1]",65,80
17,105,"[1, 0, 0, 2, 1, 2]",60,85
18,105,"[0, 1, 0, 2, 0, 2]",60,85
19,105,"[0, 1, 0, 2, 0, 1]",65,80
20,105,"[1, 0, 0, 2, 1, 1]",65,80
21,105,"[0, 1, 0, 2, 0, 1]",65,80
22,105,"[0, 1, 0, 2, 0, 1]",65,80
23,105,"[0, 1, 0, 2, 0, 2]",60,85
24,105,"[0, 1, 0, 2, 0, 2]",60,85
25,105,"[1, 0, 0, 2, 1, 1]",65,80
26,105,"[0, 1, 0, 2, 0, 2]",60,85
27,105,"[0, 1, 0, 2, 0, 2]",60,85
28,105,"[1, 0, 0, 2, 1, 1]",65,80
29,105,"[0, 1, 0, 2, 0, 1]",65,80
30,105,"[0, 1, 0, 2, 0, 1]",65,80
